ID,Name,SMILES,ECOLI
85,"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate",O=C(O)C(=O)C=CC=C(O)c1ccccc1,False
86,"2,4-dichlorophenoxyaceticacid",O=C(O)COc1ccc(Cl)cc1Cl,False
87,4-chlorophenoxyacetate,O=C(O)COc1ccc(Cl)cc1,False
88,Aniline,Nc1ccccc1,False
89,Hydroxycinnamoyl-coa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCSC(=O)/C(O)=C/c1ccccc1,False
90,Cinnamic_acid,O=C(O)/C=C/c1ccccc1,True
91,4-hydroxybenzoate,O=C(O)c1ccc(O)cc1,True
92,"3-carboxy-cis,cis-muconate",O=C(O)/C=C\C(=C/C(=O)O)C(=O)O,False
93,Gamma-carboxymuconolactone,O=C(O)CC1(C(=O)O)C=CC(=O)O1,False
94,Toluene-4-sulfonate,Cc1ccc(S(=O)(=O)O)cc1,False
95,Benzoyl-coa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCSC(=O)c1ccccc1,False
96,Ethylsalicylic acid,CCOC(=O)c1ccccc1O,False
97,"2,3-dihydroxybiphenyl",Oc1cccc(-c2ccccc2)c1O,False
98,3-hydroxybenzoate,O=C(O)c1cccc(O)c1,False
99,Tagatose-6-phosphate,O=P(O)(O)OCC1OC(O)(CO)C(O)C1O,True
100,L-galactose,O=C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,True
101,Phosphate,O=P(O)(O)O,True
102,Oleate,CCCCCCCCC=CCCCCCCCC(=O)O,True
103,Linoleate,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,False
104,Phytanate,CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O,False
105,Gamma-linolenic acid,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,False
106,"Fructose-1,6-diphosphate",O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O,True
107,L-fuculose-1-phosphate,C[C@H](O)[C@@H](O)[C@@H](O)C(=O)COP(=O)(O)O,True
108,Fucose,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,True
109,Sorbitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,True
110,Glycerol-3-phosphate,O=P(O)(O)OCC(O)CO,True
111,Oxygen,O=O,True
112,Nitric oxide,[N]=O,True
113,Nickel(ni2+),[Ni+2],True
114,Cobalt(co2+),[Co+2],True
115,Uracil,Oc1ccnc(O)n1,True
116,Glucosamine-6-phosphate,NC1C(O)OC(COP(=O)(O)O)C(O)C1O,True
117,Cellobiose-6-phosphate,O=P(O)(O)OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,True
118,Lactose,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,True
119,"2,4-dinitrophenol",O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,False
120,Carbonyl cyanide m-chlorophenylhydrazone,N#CC(C#N)=NNc1cccc(Cl)c1,False
121,Ascorbate-6-phosphate,O=C1O[C@H](C(O)COP(=O)(O)O)C(O)=C1O,True
122,Chloramphenicol,O=[N+]([O-])c1ccc([C@@H](O)[C@@H](CO)N=C(O)C(Cl)Cl)cc1,False
123,Tetracycline,CN(C)[C@@H]1C(=O)C(C(=N)O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,False
124,Arsenite,O[As](O)O,True
125,Trehalose,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,True
126,Mannose,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,True
127,Fructose-1-phosphate,O=C(COP(=O)(O)O)C(O)C(O)C(O)CO,False
128,Fructose,OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,True
129,Fructose-6-phosphate,O=P(O)(O)OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,True
130,Beta-glucoside-6-phosphate,O=[N+]([O-])c1ccc(O[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1,False
131,D-glycerate,O=C(O)C(O)CO,True
132,"Cyclic 3',5'-amp",Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,True
133,L-xylulose,OCC1(O)OCC(O)C1O,True
134,Glycerate,O=C(O)[C@H](O)CO,True
135,Pyridoxal-5-phosphate,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,True
136,Iron(fe2+),[Fe+2],True
137,Hydrogen peroxide,OO,True
138,Manganese(mn2+),[Mn+2],True
139,Ribose,OC1OC[C@@H](O)[C@@H](O)[C@H]1O,True
140,Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,False
141,Galacturonate,O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,True
142,Glucuronate,O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,True
143,Allose-6-phosphate,O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,True
144,Acetate,CC(=O)O,True
145,D-allose,OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O,True
146,Mannitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,True
147,Ethidium bromide,CCn1c2cc(=N)ccc-2c2ccc(N)cc2c1-c1ccccc1,False
148,Proflavin,Nc1ccc2cc3ccc(N)cc3nc2c1,False
149,Rhodamine 6g,CCN=c1cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C,False
150,Nitrite,O=N[O-],True
151,Nitrate,O=[N+]([O-])[O-],True
152,Gluconate,O=C(O)C(O)C(O)C(O)C(O)CO,True
153,D-glucono-delta-lactone,O=C1OC(CO)C(O)C(O)C1O,False
154,Cadmium(cd2+),[Cd+2],True
155,Silver(ag+),[Ag+],True
156,Arsenate,O=[As](O)(O)O,True
157,Ribitol,OC[C@@H](O)C(O)[C@@H](O)CO,False
158,Copper(cu2+),[Cu+2],True
159,Zinc(zn2+),[Zn+2],True
160,Catechin,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,False
161,Fisetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,False
162,Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,False
163,2-oxoglutarate,O=C(O)CCC(=O)C(=O)O,True
164,Glutamate,NC(CCC(=O)O)C(=O)O,True
165,N-acetylgalactosamine-6-phosphate,CC(O)=N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@H](O)[C@@H]1O,True
166,N-acetylglucosamine,CC(=O)NC1C(O)OC(CO)C(O)C1O,False
167,5-dehydro-d-gluconate,O=C(O)C(O)C(O)C(O)C(=O)CO,True
168,L-idonate,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,True
169,Gentisate,O=C(O)c1cc(O)ccc1O,False
170,Histidine,N[C@@H](Cc1cnc[nH]1)C(=O)O,True
171,Galactose-6-phosphate,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)COP(=O)(O)O,True
172,D-galactose-6-phosphate,O=CC(O)C(O)C(O)C(O)COP(=O)(O)O,True
173,Kojibiose,O=CC(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)C(O)CO,False
174,Galactose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,True
175,Sucrose-6-phosphate,O=P(O)(O)OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,True
176,Trehalose-6-phosphate,O=P(O)(O)OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,True
177,Betaine,C[N+](C)(C)CC(=O)O,True
178,Choline,C[N+](C)(C)CCO,True
179,N-acetylglucosamine-6-phosphate,CC(O)=N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,True
180,Galactonate,O=C(O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,True
181,L-talarate,O=C(O)C(O)C(O)C(O)C(O)C(=O)O,True
182,Distamycin,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(N=CO)cn3C)cn2C)cc1C(=O)NCCC(=N)N,False
183,Bis-indoles,c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1,False
184,L-lactate,C[C@H](O)C(=O)O,True
185,Chitobiose,CC(O)=NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2N=C(C)O)C1O,False
186,Glucose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,True
187,4-hydroxyproline,O=C(O)C1CC(O)CN1,False
188,Proline,O=C(O)C1CCCN1,True
189,Homocysteine,NC(CCS)C(=O)O,True
190,Arabinose,OC1OC[C@H](O)[C@H](O)[C@H]1O,True
191,Lysine,NCCCC[C@H](N)C(=O)O,True
192,Arginine,N=C(N)NCCCC(N)C(=O)O,True
193,Glucoside-6-phosphate,C[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O,False
194,Oleoyl-coa,CCCCCCCC/C=C\CCCCCCCC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,True
195,Palmitoyl-coa,CCCCCCCCCCCCCCCC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,True
196,Sulfate,O=S(=O)(O)O,True
197,Sulfite,O=S(O)O,True
198,2-aminoethylphosphonate,NCCP(=O)(O)O,False
199,Xylose,OC1OC[C@@H](O)[C@H](O)[C@H]1O,True
200,Psicose,OCC1(O)OC[C@@H](O)[C@@H](O)[C@H]1O,True
201,Molybdate,[Mo],True
202,Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,True
203,Shikimate,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,True
204,Ornithine,NCCCC(N)C(=O)O,True
205,L-citrulline,N=C(O)NCCC[C@H](N)C(=O)O,True
206,Deoxyfructosyl glutamine,CC1(N[C@@H](CCC(=N)O)C(=O)O)O[C@H](CO)[C@@H](O)[C@@H]1O,False
207,Mannopine,N=C(O)CC[C@H](NC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)O,False
208,2-keto-d-gluconate,O=C(O)C(=O)C(O)C(O)C(O)CO,True
209,N-acetylmannosamine-6-phosphate,CC(O)=N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,True
210,Sialic acid,CC(O)=NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,True
211,N-acetylneuraminate,CC(O)=N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(O)(C(=O)O)C[C@@H]1O,True
212,S-adenosylhomocysteine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,True
213,Guanine,N=c1nc(O)c2nc[nH]c2[nH]1,True
214,5-phosphoribosyl 1-pyrophosphate,O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O,True
215,Branched-chain amino acids,CC(C)C[C@H](N)C(=O)O,True
216,Guanosine triphosphate,N=c1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,True
217,2-keto-3-deoxygluconate,O=C(O)C(=O)CC(O)C(O)CO,True
218,Sorbose,OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,True
219,Rhamnose,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O,True
220,S-adenosylmethionine,C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,True
221,"Guanosine 3',5'-bis(diphosphate)",N=c1nc(O)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C3O)c2[nH]1,True
222,Thiosulphate,O=S(O)(O)=S,True
223,Homogentisate,O=C(O)Cc1cc(O)ccc1O,False
224,Thiamine phosphate,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(=N)[nH]1,True
225,Asparagine,N=C(O)C[C@H](N)C(=O)O,True
226,Formate,O=CO,True
227,Galactarate,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O,True
228,Niacin,O=C(O)c1cccnc1,True
