,Resultado
27,Nc1c(C(=O)O)ncn1C1OC(COP(=O)(O)O)C(O)C1O$O=C(O)O$MNXR134814_MNXM60$NOEC
28,O=P(O)(O)O$O=C(O)O$MNXR134814_MNXM60$NOEC
,Resultado
0,CC(C=O)C(=O)O$CC(C(=O)O)C(=O)O$MNXR95762_MNXM1572$1.2.1.3
1,O$CC(C(=O)O)C(=O)O$MNXR95762_MNXM1572$1.2.1.3
2,CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CC(C(=O)O)C(=O)O$MNXR105351_MNXM1572$3.1.2.17
3,O$CC(C(=O)O)C(=O)O$MNXR105351_MNXM1572$3.1.2.17
4,CC(C=O)C(=O)O$CC(C(=O)O)C(=O)O$MNXR105358_MNXM1572$1.2.1.3
5,O$CC(C(=O)O)C(=O)O$MNXR105358_MNXM1572$1.2.1.3
6,CC(C=O)C(=O)O$CC(C(=O)O)C(=O)O$MNXR105359_MNXM1572$1.2.3.1
7,O$CC(C(=O)O)C(=O)O$MNXR105359_MNXM1572$1.2.3.1
8,CC(C=O)C(=O)O$CC(C(=O)O)C(=O)O$MNXR108490_MNXM1572$1.2.3.1
9,O$CC(C(=O)O)C(=O)O$MNXR108490_MNXM1572$1.2.3.1
10,CC(C(=O)O)C(O)=NC(=N)O$CC(C(=O)O)C(=O)O$MNXR114094_MNXM1572$3.5.1.95
11,O$CC(C(=O)O)C(=O)O$MNXR114094_MNXM1572$3.5.1.95
12,CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CC(C(=O)O)C(=O)O$MNXR130388_MNXM1572$3.1.2.17;3.1.2.20
13,O$CC(C(=O)O)C(=O)O$MNXR130388_MNXM1572$3.1.2.17;3.1.2.20
14,CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CC(C(=O)O)C(=O)O$MNXR134362_MNXM1572$NOEC
15,O$CC(C(=O)O)C(=O)O$MNXR134362_MNXM1572$NOEC
,Resultado
0,CC(C=O)C(=O)O$CC(CO)C(=O)O$MNXR100633_MNXM396$1.1.1.35
1,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c([NH3+])ncnc54)C(O)C3O)C(O)C2O)C=CC1$CC(CO)C(=O)O$MNXR100633_MNXM396$1.1.1.35
2,CC(CO)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CC(CO)C(=O)O$MNXR108112_MNXM396$3.1.2.4
3,O$CC(CO)C(=O)O$MNXR108112_MNXM396$3.1.2.4
4,CC(C=O)C(=O)O$CC(CO)C(=O)O$MNXR137467_MNXM396$NOEC
5,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c([NH3+])ncnc54)C(O)C3O)C(O)C2O)C=CC1$CC(CO)C(=O)O$MNXR137467_MNXM396$NOEC
6,CC(CO)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CC(CO)C(=O)O$MNXR137943_MNXM396$3.1.2.4
7,O$CC(CO)C(=O)O$MNXR137943_MNXM396$3.1.2.4
8,CC(CO)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CC(CO)C(=O)O$MNXR138516_MNXM114176$3.1.2.4
9,O$CC(CO)C(=O)O$MNXR138516_MNXM114176$3.1.2.4
,Resultado
0,CCCCCCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99282_MNXM363$NOEC
1,CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99282_MNXM224$NOEC
2,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99282_MNXM224$NOEC
3,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1nc(O)nc(O)c1N2$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99282_MNXM224$NOEC
4,CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99283_MNXM224$NOEC
5,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99283_MNXM224$NOEC
6,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99283_MNXM224$NOEC
7,CCCCCCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99283_MNXM363$NOEC
8,CCCCCCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99295_MNXM224$NOEC
9,CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99295_MNXM88$NOEC
10,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99295_MNXM88$NOEC
11,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1nc(O)nc(O)c1N2$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99295_MNXM88$NOEC
12,CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99296_MNXM88$NOEC
13,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99296_MNXM88$NOEC
14,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99296_MNXM88$NOEC
15,CCCCCCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99296_MNXM224$NOEC
16,CCCCCCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99313_MNXM88$NOEC
17,CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99313_MNXM272$NOEC
18,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99313_MNXM272$NOEC
19,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1nc(O)nc(O)c1N2$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99313_MNXM272$NOEC
20,CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99314_MNXM272$NOEC
21,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99314_MNXM272$NOEC
22,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99314_MNXM272$NOEC
23,CCCCCCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99314_MNXM88$NOEC
24,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99393_MNXM224$2.3.1.86
25,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99393_MNXM224$2.3.1.86
26,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99393_MNXM224$2.3.1.86
27,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99399_MNXM88$2.3.1.86
28,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99399_MNXM88$2.3.1.86
29,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99399_MNXM88$2.3.1.86
30,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99402_MNXM236$2.3.1.85
31,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99402_MNXM236$2.3.1.85
32,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99402_MNXM236$2.3.1.85
33,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99405_MNXM272$2.3.1.86
34,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99405_MNXM272$2.3.1.86
35,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99405_MNXM272$2.3.1.86
36,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99409_MNXM2976$NOEC
37,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99409_MNXM2976$NOEC
38,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99409_MNXM2976$NOEC
39,CCCCCCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99409_MNXM236$NOEC
40,CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99429_MNXM106625$NOEC
41,CCCCCCCCCCCCCCCC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99429_MNXM106625$NOEC
42,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR99429_MNXM106625$NOEC
43,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR107387_MNXM1429$NOEC
44,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR107387_MNXM1429$NOEC
45,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR107387_MNXM1429$NOEC
46,CCCCCCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR107387_MNXM272$NOEC
47,COC(=O)CCCCCCCCCCCCCCCCCC=O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR108378_MNXM3030$4.1.99.5
48,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR108378_MNXM3030$4.1.99.5
49,CCC=CCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR109480_MNXM224$NOEC
50,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR109480_MNXM224$NOEC
51,CCC=CCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR109481_MNXM224$NOEC
52,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR109481_MNXM224$NOEC
53,CCC=CCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR110904_MNXM224$NOEC
54,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR110904_MNXM224$NOEC
55,CCC=CCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR110905_MNXM224$NOEC
56,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR110905_MNXM224$NOEC
57,COC(=O)CCCCCCCCCCCCCCCCCC=O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR117997_MNXM39635$1.14.14
58,COC(=O)CCCCCCCCCCCCCCCCCC=O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR119282_MNXM3030$4.1.99
59,COC(=O)CCCCCCCCCCCCCCCCCO$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR124555_MNXM402$NOEC
60,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR124555_MNXM402$NOEC
61,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR125727_MNXM1429$2.3.1.119
62,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR125727_MNXM1429$2.3.1.119
63,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR125727_MNXM1429$2.3.1.119
64,CCCCCCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR125727_MNXM272$2.3.1.119
65,COC(=O)CCCCCCCCCCCCCCCCCC=O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR125790_MNXM3030$4.1.99.5
66,COC(=O)CCCCCCCCCCCCCCCCCO$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127460_MNXM3297$NOEC
67,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127460_MNXM3297$NOEC
68,COC(=O)CCCCCCCCCCCCCCCCCO$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127462_MNXM3844$NOEC
69,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127462_MNXM3844$NOEC
70,COC(=O)CCCCCCCCCCCCCCCCCO$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127463_MNXM36555$NOEC
71,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127463_MNXM36555$NOEC
72,COC(=O)CCCCCCCCCCCCCCCCCO$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127464_MNXM36535$NOEC
73,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127464_MNXM36535$NOEC
74,COC(=O)CCCCCCCCCCCCCCCCCO$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127513_MNXM46158$NOEC
75,COC(=O)CCCCCCCCCCCCCCCCCO$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127528_MNXM314$NOEC
76,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127528_MNXM314$NOEC
77,COC(=O)CCCCCCCCCCCCCCCC(C)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127803_MNXM402$NOEC
78,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR127803_MNXM402$NOEC
79,CCC(O)CCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR128114_MNXM108$NOEC
80,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR128114_MNXM108$NOEC
81,COC(=O)CCCCCCCCCCCCCCCC(C)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR128115_MNXM108$NOEC
82,O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR128115_MNXM108$NOEC
83,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136015_MNXM46158$2.3.1.85
84,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136015_MNXM46158$2.3.1.85
85,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136015_MNXM46158$2.3.1.85
86,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136022_MNXM108$2.3.1.85
87,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136022_MNXM108$2.3.1.85
88,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136022_MNXM108$2.3.1.85
89,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136025_MNXM314$2.3.1.85
90,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136025_MNXM314$2.3.1.85
91,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136025_MNXM314$2.3.1.85
92,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136026_MNXM363$2.3.1.86
93,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136026_MNXM363$2.3.1.86
94,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136026_MNXM363$2.3.1.86
95,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136028_MNXM402$2.3.1.85
96,CCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136028_MNXM402$2.3.1.85
97,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136028_MNXM402$2.3.1.85
98,CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136043_MNXM1504$NOEC
99,CCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136043_MNXM1504$NOEC
100,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136043_MNXM1504$NOEC
101,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC$CCCCCCCCCCCCCCCCCC(=O)OC$MNXR136043_MNXM272$NOEC
,Resultado
0,O=C(O)CC(O)(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR95268_MNXM46$2.3.3.8;4.1.3.6
1,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR96079_MNXM46$2.6.1.1
2,O=C(O)CCC(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR96079_MNXM46$2.6.1.1
3,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR96088_MNXM46$1.4.3.16;1.4.3.2
4,O$O=C(O)CC(=O)C(=O)O$MNXR96088_MNXM46$1.4.3.16;1.4.3.2
5,CC(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR96100_MNXM46$2.6.1.12
6,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR96100_MNXM46$2.6.1.12
7,O=C(O)CC(O)(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR96731_MNXM46$4.1.3.6
8,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR97153_MNXM46$1.4.3.1;1.4.3.15
9,O$O=C(O)CC(=O)C(=O)O$MNXR97153_MNXM46$1.4.3.1;1.4.3.15
10,O=C(O)C(O)C(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR97802_MNXM46$4.2.1.81
11,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR97909_MNXM46$NOEC
12,O=C(O)C(=O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR97909_MNXM46$NOEC
13,CC(C(=O)O)C(O)(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR101417_MNXM46$2.3.3.5
14,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR101439_MNXM46$1.1.1.299;1.1.1.37
15,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR101440_MNXM46$NOEC
16,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR101441_MNXM46$NOEC
17,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR101442_MNXM46$1.1.99.16
18,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR101715_MNXM46$1.1.5.4
19,CC(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR102098_MNXM46$NOEC
20,O=C=O$O=C(O)CC(=O)C(=O)O$MNXR102098_MNXM46$NOEC
21,CC(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR102391_MNXM46$6.4.1.1
22,O=C(O)O$O=C(O)CC(=O)C(=O)O$MNXR102391_MNXM46$6.4.1.1
23,C=C(OP(=O)(O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR102487_MNXM46$4.1.1.32
24,N=c1nc(O)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)O)C(O)C3O)c2[nH]1$O=C(O)CC(=O)C(=O)O$MNXR102487_MNXM46$4.1.1.32
25,O=C=O$O=C(O)CC(=O)C(=O)O$MNXR102487_MNXM46$4.1.1.32
26,C=C(OP(=O)(O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR103096_MNXM46$4.1.1.31
27,O$O=C(O)CC(=O)C(=O)O$MNXR103096_MNXM46$4.1.1.31
28,O=C=O$O=C(O)CC(=O)C(=O)O$MNXR103096_MNXM46$4.1.1.31
29,O=C(O)C(O)C(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR104718_MNXM46$4.2.1.32
30,CSCCC(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR105129_MNXM46$NOEC
31,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR105129_MNXM46$NOEC
32,O=C(O)CCCCCC(=O)O$O=C(O)CC(=O)C(=O)O$MNXR105223_MNXM46$NOEC
33,O=O$O=C(O)CC(=O)C(=O)O$MNXR105223_MNXM46$NOEC
34,NC(C(=O)O)C(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106484_MNXM46$4.3.1.20
35,N=C(O)CC(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106485_MNXM46$3.5.1;3.5.1.3
36,O$O=C(O)CC(=O)C(=O)O$MNXR106485_MNXM46$3.5.1;3.5.1.3
